area_type,availability,location,size,total_sqft,bath,balcony,price,bhk
Super built-up  Area,Ready To Move,Chamrajpet,4 BHK,1900.0,2.0,1.0,170.0,4.0
Plot  Area,17-Dec,Banashankari,3 Bedroom,600.0,3.0,1.0,100.0,3.0
Super built-up  Area,Ready To Move,OMBR Layout,2 BHK,1101.0,2.0,2.0,65.5,2.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1700.0,3.0,3.0,135.0,3.0
Super built-up  Area,Ready To Move,Whitefield,4 BHK,3606.0,4.0,2.0,312.0,4.0
Super built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,1258.0,2.0,2.0,115.0,2.0
Carpet  Area,Ready To Move,Kanakpura Road,3 BHK,1560.0,3.0,2.0,92.0,3.0
Super built-up  Area,Ready To Move,Old Madras Road,4 BHK,3630.0,6.0,1.0,195.0,4.0
Built-up  Area,Ready To Move,JP Nagar,3 BHK,2000.0,3.0,2.0,250.0,3.0
Super built-up  Area,19-Jun,Hebbal,4 BHK,2790.0,4.0,3.0,198.0,4.0
Super built-up  Area,20-Jan,Badavala Nagar,3 BHK,1494.0,2.0,2.0,94.55,3.0
Super built-up  Area,18-Oct,Hennur Road,3 BHK,1482.0,2.0,1.0,87.0,3.0
Super built-up  Area,Ready To Move,Rustam Bagh Layout,2 BHK,800.0,2.0,3.0,50.0,2.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1185.0,2.0,2.0,47.39,2.0
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,1100.0,2.0,2.0,71.5,2.0
Built-up  Area,Ready To Move,NRI Layout,2 Bedroom,1300.0,2.0,0.0,120.0,2.0
Super built-up  Area,Ready To Move,4th Block Koramangala,2 BHK,1225.0,2.0,2.0,150.0,2.0
Super built-up  Area,Ready To Move,Hulimavu,3 BHK,1758.0,3.0,2.0,65.0,3.0
Super built-up  Area,Ready To Move,Banaswadi,2 BHK,1145.0,2.0,2.0,55.0,2.0
Built-up  Area,Ready To Move,Hormavu,2 BHK,1180.0,2.0,2.0,50.0,2.0
Super built-up  Area,Ready To Move,Belatur,2 BHK,1260.0,2.0,2.0,58.0,2.0
Super built-up  Area,19-Jun,Yelahanka,4 BHK,3461.0,2.0,2.0,173.0,4.0
Built-up  Area,Ready To Move,Arekere,2 BHK,1190.0,2.0,2.0,55.0,2.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1691.0,3.0,2.0,119.0,3.0
Super built-up  Area,18-Dec,Lalbagh Road,4 BHK,3675.0,4.0,3.0,367.0,4.0
Built-up  Area,Ready To Move,Frazer Town,3 BHK,1305.0,3.0,2.0,95.45,3.0
Super built-up  Area,18-Apr,Basavangudi,3 BHK,2337.0,4.0,3.0,292.0,3.0
Plot  Area,Ready To Move,Kamakya Layout,2 Bedroom,1200.0,2.0,2.0,150.0,2.0
Super built-up  Area,20-Dec,Domlur,2 BHK,1206.0,2.0,1.0,217.0,2.0
Plot  Area,Ready To Move,Vignana Nagar,5 Bedroom,1350.0,4.0,1.0,130.0,5.0
Super built-up  Area,Ready To Move,Kogilu,2 BHK,1140.0,2.0,1.0,50.66,2.0
Super built-up  Area,Ready To Move,Nallurhalli,2 BHK,1250.0,2.0,2.0,65.0,2.0
Plot  Area,Ready To Move,Kamakshipalya,3 Bedroom,600.0,2.0,1.0,60.0,3.0
Super built-up  Area,18-Aug,Chinnapanahalli,2 BHK,1225.0,2.0,2.0,48.0,2.0
Built-up  Area,Ready To Move,Kereguddadahalli,2 BHK,800.0,2.0,2.0,28.0,2.0
Super built-up  Area,Ready To Move,Jalahalli East,2 BHK,1020.0,2.0,1.0,58.0,2.0
Built-up  Area,Ready To Move,TC Palaya,4 Bedroom,2100.0,2.0,1.0,50.0,4.0
Plot  Area,Ready To Move,Lingarajapuram,2 Bedroom,1350.0,2.0,1.0,80.0,2.0
Super built-up  Area,Ready To Move,Anekal,2 BHK,925.0,2.0,1.0,40.0,2.0
Built-up  Area,Ready To Move,Yelachenahalli,4 Bedroom,1800.0,3.0,1.0,220.0,4.0
Built-up  Area,Ready To Move,3rd Block HBR Layout,3 Bedroom,2000.0,3.0,1.0,100.0,3.0
Built-up  Area,Ready To Move,Frazer Town,3 BHK,1510.0,2.0,1.0,75.0,3.0
Plot  Area,Ready To Move,Kasavanhalli,5 Bedroom,5800.0,7.0,2.0,1200.0,5.0
Super built-up  Area,Ready To Move,Laxmi Sagar Layout,3 BHK,1614.0,3.0,1.0,110.0,3.0
Plot  Area,Ready To Move,Yeshwanthpur,3 Bedroom,682.0,2.0,1.0,130.0,3.0
Plot  Area,Ready To Move,Gottigere,2 Bedroom,1200.0,2.0,0.0,95.0,2.0
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,900.0,2.0,0.0,55.0,2.0
Built-up  Area,Ready To Move,Bommenahalli,4 Bedroom,1632.0,3.0,0.0,145.0,4.0
Super built-up  Area,Ready To Move,OMBR Layout,2 BHK,1041.0,2.0,2.0,65.5,2.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,6 BHK,5080.0,7.0,2.0,450.0,6.0
Super built-up  Area,18-Jul,Bannerghatta,4 BHK,3012.0,6.0,2.0,250.0,4.0
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,1530.0,3.0,2.0,74.5,3.0
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,3 BHK,1450.0,2.0,2.0,135.0,3.0
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,1200.0,2.0,2.0,75.0,2.0
Plot  Area,Ready To Move,Sahakara Nagar,4 Bedroom,1200.0,4.0,2.0,130.0,4.0
Super built-up  Area,Ready To Move,Hosur Road,3 BHK,1508.0,2.0,1.0,110.0,3.0
Built-up  Area,Ready To Move,New Gurappana Palya,7 BHK,600.0,7.0,3.0,106.0,7.0
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,2 BHK,1188.0,2.0,3.0,73.0,2.0
Super built-up  Area,18-May,Old Airport Road,4 BHK,2690.0,4.0,3.0,199.0,4.0
Super built-up  Area,Ready To Move,Harlur,2 BHK,1174.0,2.0,1.0,76.0,2.0
Super built-up  Area,19-Dec,Old Madras Road,3 BHK,1350.0,3.0,1.0,58.99,3.0
Super built-up  Area,Ready To Move,Frazer Town,3 BHK,1870.0,3.0,3.0,185.0,3.0
Super built-up  Area,18-Jun,Kengeri Satellite Town,2 BHK,1072.0,2.0,1.0,25.0,2.0
Plot  Area,Ready To Move,Nelamangala,3 Bedroom,52272.0,2.0,1.0,140.0,3.0
Super built-up  Area,18-Nov,Kengeri,2 BHK,726.0,2.0,1.0,31.0,2.0
Super built-up  Area,Ready To Move,Hosur Road,2 BHK,1345.0,2.0,2.0,106.0,2.0
Super built-up  Area,Ready To Move,Begur Road,2 BHK,1200.0,2.0,2.0,45.0,2.0
Built-up  Area,Ready To Move,Nagavarapalya,2 BHK,980.0,2.0,0.0,37.0,2.0
Super built-up  Area,Ready To Move,Hormavu,2 BHK,1050.0,2.0,1.0,77.0,2.0
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,993.0,2.0,1.0,39.71,2.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1300.0,2.0,2.0,52.0,3.0
Super built-up  Area,Ready To Move,Vittasandra,3 BHK,1743.0,3.0,2.0,85.0,3.0
Plot  Area,Ready To Move,Whitefield,4 Bedroom,1204.0,4.0,1.0,125.0,4.0
Plot  Area,Ready To Move,Hormavu,2 Bedroom,1200.0,2.0,0.0,67.0,2.0
Super built-up  Area,Ready To Move,2nd Block Hrbr Layout,3 BHK,1480.0,3.0,2.0,90.0,3.0
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,950.0,2.0,2.0,32.5,2.0
Built-up  Area,Ready To Move,Domlur,1 BHK,640.0,1.0,0.0,55.0,1.0
Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,972.0,2.0,1.0,44.0,2.0
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,1840.0,3.0,3.0,98.0,3.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1128.0,2.0,1.0,64.0,2.0
Plot  Area,Ready To Move,Hongasandra,2 Bedroom,680.0,2.0,0.0,42.0,2.0
Plot  Area,Ready To Move,Harappanahalli,2 Bedroom,2400.0,2.0,1.0,95.0,2.0
Built-up  Area,Ready To Move,Basapura,2 BHK,1045.0,2.0,2.0,42.0,2.0
Built-up  Area,Ready To Move,Roopena Agrahara,2 BHK,955.0,2.0,3.0,53.55,2.0
Super built-up  Area,Ready To Move,Doddakallasandra,3 BHK,1360.0,2.0,2.0,54.39,3.0
Super built-up  Area,Ready To Move,BTM Layout,2 BHK,1150.0,2.0,2.0,63.0,2.0
Built-up  Area,19-Mar,Hennur Road,4 Bedroom,3450.0,4.0,3.0,294.0,4.0
Super built-up  Area,18-Oct,Chennammana Kere,2 BHK,1115.0,2.0,2.0,56.87,2.0
Super built-up  Area,Ready To Move,Jigani,2 BHK,920.0,2.0,2.0,46.0,2.0
Super built-up  Area,18-Jun,Bommasandra Industrial Area,2 BHK,1030.0,2.0,1.0,41.0,2.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1564.0,3.0,1.0,101.0,3.0
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,1045.0,2.0,1.0,45.0,2.0
Plot  Area,Ready To Move,Hegde Nagar,4 Bedroom,1200.0,4.0,1.0,83.0,4.0
Built-up  Area,Ready To Move,Subramanyapura,2 BHK,1277.0,2.0,2.0,55.0,2.0
Super built-up  Area,Ready To Move,Kanaka Nagar,3 BHK,2479.13,3.0,1.0,215.0,3.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1846.0,3.0,2.0,140.0,3.0
Built-up  Area,Ready To Move,Tasker Town,2 BHK,1100.0,2.0,0.0,106.0,2.0
Super built-up  Area,Ready To Move,Govindpura,3 BHK,1690.0,3.0,2.0,75.0,3.0
Plot  Area,17-Jul,Hormavu,2 Bedroom,1200.0,3.0,0.0,70.0,2.0
Built-up  Area,Ready To Move,Yelahanka,4 Bedroom,3042.0,4.0,0.0,131.0,4.0
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,1640.0,3.0,3.0,223.0,3.0
Built-up  Area,19-Mar,NR Colony,2 BHK,1068.0,2.0,1.0,40.05,2.0
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,1135.0,2.0,2.0,58.0,2.0
Super built-up  Area,Ready To Move,Agara Village,3 BHK,1925.0,3.0,2.0,120.0,3.0
Super built-up  Area,Ready To Move,Begur Road,3 BHK,1615.0,3.0,2.0,60.0,3.0
Super built-up  Area,Ready To Move,Shettigere,1 BHK,650.0,1.0,1.0,26.0,1.0
Plot  Area,Ready To Move,Chikkasandra,9 Bedroom,1200.0,9.0,3.0,120.0,9.0
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,1150.0,2.0,3.0,42.0,2.0
Plot  Area,Ready To Move,Kothannur,6 Bedroom,930.0,6.0,1.0,135.0,6.0
Super built-up  Area,18-Mar,Kenchanehalli R R Nagar,3 BHK,1410.0,2.0,2.0,45.12,3.0
Built-up  Area,Ready To Move,6th Phase JP Nagar,3 Bedroom,600.0,2.0,0.0,100.0,3.0
Super built-up  Area,18-Apr,Kumara Park,3 BHK,2000.0,3.0,3.0,207.0,3.0
Super built-up  Area,Ready To Move,Tumkur Road,3 BHK,1354.0,3.0,1.0,90.0,3.0
Plot  Area,Ready To Move,BEL Road,2 Bedroom,1050.0,2.0,0.0,110.0,2.0
Built-up  Area,Ready To Move,Arekere,1 BHK,600.0,1.0,1.0,28.0,1.0
Plot  Area,Ready To Move,Varthur,4 Bedroom,1320.0,2.0,1.0,110.0,4.0
Super built-up  Area,18-May,Koramangala,3 BHK,1600.0,3.0,2.0,88.0,3.0
Built-up  Area,Ready To Move,Kanakpura Road,4 Bedroom,3500.0,6.0,2.0,225.0,4.0
Super built-up  Area,Ready To Move,GM Palaya,2 BHK,1000.0,2.0,1.0,36.0,2.0
Super built-up  Area,Ready To Move,Byagadadhenahalli,3 BHK,1130.0,3.0,1.0,38.0,3.0
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,1238.0,2.0,1.0,67.0,2.0
Super built-up  Area,Ready To Move,Ashwathnagar,3 BHK,2204.0,2.0,3.0,305.0,3.0
Plot  Area,Ready To Move,KR Puram,8 Bedroom,1200.0,12.0,2.0,110.0,8.0
Super built-up  Area,18-Apr,Kudlu Gate,3 BHK,1364.0,2.0,3.0,46.38,3.0
Built-up  Area,Ready To Move,Srinivasa Nagar,2 BHK,900.0,2.0,1.0,45.0,2.0
Super built-up  Area,Ready To Move,Gubbalala,3 BHK,1745.0,3.0,2.0,104.0,3.0
Super built-up  Area,Ready To Move,Kogilu,2 BHK,1200.0,2.0,1.0,53.33,2.0
Super built-up  Area,Ready To Move,Kanakapura,2 BHK,1020.0,2.0,1.0,42.83,2.0
Super built-up  Area,18-Dec,Banashankari Stage III,3 BHK,1650.0,3.0,2.0,118.0,3.0
Super built-up  Area,Ready To Move,Doddabommasandra,3 BHK,1550.0,2.0,3.0,70.0,3.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1440.0,2.0,2.0,60.0,2.0
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3 BHK,1329.0,2.0,2.0,45.95,3.0
Super built-up  Area,Ready To Move,Maruthi Layout,2 BHK,916.0,2.0,1.0,42.0,2.0
Super built-up  Area,Ready To Move,Hulimavu,1 BHK,688.0,1.0,2.0,50.0,1.0
Super built-up  Area,Ready To Move,Sree Narayana Nagar,3 BHK,1358.0,3.0,3.0,50.0,3.0
Super built-up  Area,19-Jul,Kanakpura Road,2 BHK,1331.0,2.0,1.0,107.0,2.0
Super built-up  Area,Ready To Move,Malleshwaram,1 BHK,686.0,1.0,1.0,62.5,1.0
Super built-up  Area,Ready To Move,Hoodi,2 BHK,1050.0,2.0,2.0,50.0,2.0
Super built-up  Area,Ready To Move,Talaghattapura,3 BHK,2106.0,3.0,2.0,126.0,3.0
Super built-up  Area,18-Jul,Bhoganhalli,3 BHK,1718.0,3.0,2.0,90.2,3.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1530.0,3.0,2.0,57.0,3.0
Super built-up  Area,Ready To Move,5th Block Hbr Layout,2 BHK,1206.0,2.0,2.0,56.0,2.0
Built-up  Area,Ready To Move,Hebbal,2 BHK,1075.0,2.0,3.0,52.0,2.0
Plot  Area,18-Dec,Sarjapur  Road,3 Bedroom,1200.0,3.0,1.0,95.0,3.0
Super built-up  Area,18-Dec,Tunganagara,3 BHK,1936.0,2.0,2.0,54.21,3.0
Super built-up  Area,Ready To Move,Nagavara,4 BHK,2172.65,3.0,3.0,120.0,4.0
Super built-up  Area,Ready To Move,Sahakara Nagar,3 BHK,1100.0,2.0,2.0,75.0,3.0
Plot  Area,Ready To Move,BTM 2nd Stage,3 Bedroom,1260.0,5.0,1.0,185.0,3.0
Plot  Area,Ready To Move,Hongasandra,8 Bedroom,990.0,12.0,0.0,120.0,8.0
Plot  Area,Ready To Move,Jalahalli East,3 Bedroom,800.0,2.0,1.0,80.0,3.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1117.0,2.0,3.0,29.99,2.0
Built-up  Area,Ready To Move,Remco Bhel Layout,3 BHK,1685.0,2.0,1.0,110.0,3.0
Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,740.0,2.0,1.0,37.0,2.0
Plot  Area,Ready To Move,Chamrajpet,4 Bedroom,1080.0,4.0,2.0,250.0,4.0
Plot  Area,Ready To Move,Magadi Road,4 Bedroom,1500.0,2.0,2.0,93.0,4.0
Super built-up  Area,Ready To Move,Banashankari,3 BHK,1800.0,3.0,2.0,115.0,3.0
Super built-up  Area,Ready To Move,Yelachenahalli,3 BHK,1700.0,3.0,2.0,130.0,3.0
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,850.0,2.0,2.0,37.93,2.0
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,1891.0,3.0,1.0,139.0,3.0
Built-up  Area,Ready To Move,Jalahalli,2 BHK,1400.0,1.0,1.0,80.0,2.0
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,1172.0,2.0,2.0,82.0,2.0
Super built-up  Area,18-May,Electronic City Phase II,3 BHK,1400.0,2.0,2.0,40.43,3.0
Built-up  Area,Ready To Move,Sonnenahalli,2 BHK,896.0,2.0,1.0,43.75,2.0
Super built-up  Area,20-Jun,Vijayanagar,2 BHK,1180.0,2.0,2.0,65.0,2.0
Plot  Area,Ready To Move,Basaveshwara Nagar,7 Bedroom,2460.0,7.0,1.0,350.0,7.0
Built-up  Area,Ready To Move,Chokkasandra,2 BHK,850.0,2.0,1.0,33.0,2.0
Super built-up  Area,19-Oct,Anekal,1 BHK,530.0,1.0,1.0,18.0,1.0
Super built-up  Area,18-Jul,2nd Block Hrbr Layout,3 BHK,1550.0,3.0,3.0,110.0,3.0
Super built-up  Area,19-Dec,Kanakapura,3 BHK,1699.0,3.0,3.0,97.0,3.0
Super built-up  Area,17-Oct,Bellandur,4 BHK,2025.0,4.0,3.0,109.0,4.0
Super built-up  Area,18-Jun,Ananth Nagar,1 BHK,500.0,2.0,2.0,14.0,1.0
Built-up  Area,Ready To Move,Panduranga Nagar,1 BHK,500.0,1.0,0.0,20.0,1.0
Built-up  Area,Ready To Move,Sri Venkateshpura Layout,2 BHK,1146.0,2.0,1.0,38.5,2.0
Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,2475.0,4.0,3.0,332.0,3.0
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,1455.0,2.0,1.0,145.0,2.0
Plot  Area,Ready To Move,Seegehalli,2 Bedroom,800.0,1.0,0.0,50.0,2.0
Super built-up  Area,Ready To Move,Abbigere,1 BHK,765.0,2.0,2.0,30.0,1.0
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,1521.0,3.0,1.0,94.99,3.0
Super built-up  Area,Ready To Move,Gottigere,3 BHK,1600.0,2.0,2.0,55.0,3.0
Super built-up  Area,Ready To Move,Byadarahalli,3 BHK,3155.0,4.0,2.0,370.0,3.0
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,2900.0,4.0,2.0,240.0,3.0
Super built-up  Area,Ready To Move,Jakkur Plantation,3 BHK,1765.0,3.0,3.0,105.0,3.0
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,1980.0,3.0,2.0,88.0,3.0
Built-up  Area,Ready To Move,Amruthahalli,3 Bedroom,1900.0,3.0,1.0,135.0,3.0
Super built-up  Area,Ready To Move,Kaverappa Layout,2 BHK,1265.0,2.0,3.0,70.0,2.0
Super built-up  Area,Ready To Move,Bommasandra,2 BHK,1034.0,2.0,3.0,40.0,2.0
Built-up  Area,Ready To Move,Kaverappa Layout,2 BHK,1012.0,2.0,1.0,59.0,2.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1070.0,2.0,1.0,54.0,2.0
Built-up  Area,Ready To Move,Mahadevpura,4 Bedroom,3555.0,4.0,1.0,230.0,4.0
Super built-up  Area,Ready To Move,5th Block Hbr Layout,3 BHK,1270.0,2.0,2.0,70.0,3.0
Plot  Area,Ready To Move,Yeshwanthpur,2 Bedroom,585.0,1.0,0.0,70.0,2.0
Super built-up  Area,Ready To Move,Doddanekundi,3 BHK,2045.0,4.0,3.0,154.0,3.0
Super built-up  Area,Ready To Move,Bellandur,3 BHK,1490.0,2.0,2.0,98.0,3.0
Built-up  Area,Ready To Move,Banaswadi,7 Bedroom,6150.0,6.0,1.0,830.0,7.0
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,883.0,2.0,1.0,40.0,2.0
Super built-up  Area,Ready To Move,Yeshwanthpur,1 BHK,671.0,1.0,1.0,36.85,1.0
Super built-up  Area,Ready To Move,Kammasandra,2 BHK,1156.0,2.0,2.0,32.0,2.0
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,2017.0,3.0,2.0,125.0,3.0
Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,3122.0,6.0,2.0,235.0,4.0
Super built-up  Area,18-Jul,Ramagondanahalli,3 BHK,1635.0,3.0,1.0,62.0,3.0
Built-up  Area,Ready To Move,Sir M V Nagar,7 Bedroom,4400.0,9.0,2.0,120.0,7.0
Super built-up  Area,19-Jul,Kanakpura Road,2 BHK,1296.0,2.0,1.0,89.0,2.0
Plot  Area,Ready To Move,Bikasipura,6 Bedroom,2400.0,4.0,2.0,280.0,6.0
Super built-up  Area,Ready To Move,Budigere,2 BHK,1139.0,2.0,2.0,62.0,2.0
Super built-up  Area,18-Aug,CV Raman Nagar,2 BHK,1230.0,3.0,2.0,47.0,2.0
Super built-up  Area,Ready To Move,Basaveshwara Nagar Yelahanka,1 BHK,581.91,2.0,1.0,25.0,1.0
Super built-up  Area,19-Dec,Binny Pete,2 BHK,1245.0,2.0,1.0,86.28,2.0
Plot  Area,Ready To Move,Sidedahalli,3 Bedroom,1158.0,2.0,2.0,85.0,3.0
Built-up  Area,Ready To Move,Marathahalli,4 BHK,3951.0,4.0,2.0,220.0,4.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,550.0,1.0,1.0,15.0,2.0
Super built-up  Area,Ready To Move,Ramamurthy Nagar,1 BHK,360.0,1.0,1.0,26.0,1.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,1350.0,3.0,1.0,55.0,3.0
Built-up  Area,Ready To Move,Green Glen Layout,3 BHK,1670.0,3.0,2.0,120.0,3.0
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,1600.0,2.0,2.0,65.0,3.0
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,1307.0,2.0,2.0,51.6,2.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1050.0,2.0,1.0,57.0,3.0
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,1703.0,3.0,2.0,101.0,3.0
Super built-up  Area,Ready To Move,Kaggalipura,3 BHK,1210.0,2.0,1.0,58.0,3.0
Built-up  Area,18-Dec,Electronic City,2 BHK,1025.0,2.0,1.0,29.6,2.0
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,1140.0,2.0,2.0,43.0,2.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1343.0,2.0,2.0,56.41,3.0
Super built-up  Area,Ready To Move,R.T. Nagar,3 BHK,1560.0,3.0,2.0,85.0,3.0
Super built-up  Area,17-Aug,Kalkere,2 BHK,925.0,2.0,2.0,51.0,2.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1420.0,2.0,2.0,75.0,3.0
Built-up  Area,Ready To Move,1st Block Koramangala,2 BHK,1415.0,2.0,3.0,110.0,2.0
Super built-up  Area,Ready To Move,Shree Ananth Nagar Layout,2 BHK,1210.0,2.0,2.0,60.0,2.0
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,1852.0,3.0,2.0,160.0,3.0
Super built-up  Area,Ready To Move,Hoskote,3 BHK,1250.0,3.0,2.0,50.0,3.0
Super built-up  Area,21-Sep,9th Phase JP Nagar,2 BHK,1100.0,2.0,1.0,65.0,2.0
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,2 BHK,1150.0,2.0,1.0,40.25,2.0
Super built-up  Area,20-Dec,Jakkur,2 BHK,1100.0,2.0,1.0,53.35,2.0
Plot  Area,Ready To Move,Magadi Road,2 Bedroom,1350.0,1.0,0.0,100.0,2.0
Super built-up  Area,Ready To Move,Panathur,3 BHK,1546.0,3.0,2.0,99.0,3.0
Super built-up  Area,Ready To Move,Ambedkar Nagar,2 BHK,1424.0,2.0,2.0,90.0,2.0
Built-up  Area,Ready To Move,Bellandur,3 BHK,1398.0,3.0,1.0,68.0,3.0
Super built-up  Area,Ready To Move,Indira Nagar,3 BHK,1650.0,3.0,2.0,200.0,3.0
Plot  Area,Ready To Move,HBR Layout,4 Bedroom,1200.0,4.0,0.0,120.0,4.0
Super built-up  Area,Ready To Move,Brookefield,3 BHK,1476.0,3.0,2.0,105.0,3.0
Built-up  Area,Ready To Move,Attiguppe,2 Bedroom,500.0,2.0,1.0,70.0,2.0
Super built-up  Area,18-Aug,Magadi Road,3 BHK,1322.0,2.0,2.0,58.82,3.0
Plot  Area,Ready To Move,Srirampuram,2 Bedroom,432.0,2.0,1.0,40.0,2.0
Built-up  Area,Ready To Move,Yemlur,2 BHK,1100.0,2.0,2.0,55.0,2.0
Super built-up  Area,Ready To Move,Race Course Road,4 BHK,4750.0,5.0,2.0,600.0,4.0
Built-up  Area,Ready To Move,Sarjapur,3 BHK,1285.0,2.0,2.0,68.0,3.0
Built-up  Area,Ready To Move,Ambalipura,2 BHK,1150.0,2.0,2.0,80.0,2.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1430.0,2.0,2.0,56.0,3.0
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,1350.0,2.0,2.0,62.0,3.0
Plot  Area,Ready To Move,Gkvk Layout,3 Bedroom,1350.0,3.0,3.0,195.0,3.0
Built-up  Area,Ready To Move,Thubarahalli,2 BHK,1185.0,2.0,2.0,65.0,2.0
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,1760.0,3.0,2.0,67.0,3.0
Plot  Area,Ready To Move,Bank Of Baroda Colony,4 Bedroom,2400.0,5.0,2.0,350.0,4.0
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,900.0,2.0,1.0,41.0,2.0
Super built-up  Area,19-Jul,Kanakpura Road,2 BHK,1297.0,2.0,1.0,105.0,2.0
Super built-up  Area,Ready To Move,Sector 1 HSR Layout,3 BHK,1840.0,3.0,2.0,155.0,3.0
Built-up  Area,Ready To Move,Ramamurthy Nagar,2 BHK,950.0,2.0,1.0,50.79,2.0
Plot  Area,Ready To Move,Chikkabanavar,5 Bedroom,1200.0,4.0,1.0,70.0,5.0
Carpet  Area,Ready To Move,BTM 2nd Stage,2 BHK,950.0,2.0,1.0,52.0,2.0
Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,1277.5,2.0,0.0,95.815,2.0
Super built-up  Area,18-Jan,Electronic City,3 BHK,1571.0,3.0,2.0,89.0,3.0
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,1031.0,2.0,1.0,55.0,2.0
Super built-up  Area,19-Dec,Whitefield,2 BHK,1485.0,2.0,1.0,90.0,2.0
Super built-up  Area,18-Dec,Ananth Nagar,2 BHK,1109.0,2.0,1.0,60.0,2.0
Super built-up  Area,Ready To Move,Koramangala,3 BHK,2200.0,3.0,2.0,180.0,3.0
Super built-up  Area,18-Apr,Whitefield,1 BHK,950.0,1.0,1.0,50.0,1.0
Plot  Area,Ready To Move,Laggere,3 Bedroom,1200.0,2.0,0.0,150.0,3.0
Super built-up  Area,18-Jul,Hosa Road,2 BHK,1161.0,2.0,1.0,55.15,2.0
Super built-up  Area,Ready To Move,Basavangudi,3 BHK,2350.0,3.0,3.0,300.0,3.0
Super built-up  Area,18-Apr,Electronic City Phase II,2 BHK,1003.0,2.0,1.0,40.6,2.0
Plot  Area,Ready To Move,Bank Of Baroda Colony,2 Bedroom,1350.0,2.0,1.0,185.0,2.0
Super built-up  Area,18-Jun,9th Phase JP Nagar,2 BHK,1080.0,2.0,2.0,37.0,2.0
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,1255.0,2.0,2.0,73.0,2.0
Super built-up  Area,Ready To Move,Banaswadi,2 BHK,1250.0,2.0,0.0,60.0,2.0
Plot  Area,Ready To Move,Brookefield,4 Bedroom,1700.0,4.0,1.0,152.0,4.0
Plot  Area,Ready To Move,Ramamurthy Nagar,3 Bedroom,1200.0,2.0,0.0,66.0,3.0
